model_name,f1,accuracy,recall,training_time,data_size,batch_size,learning_rate,epochs,model_param,model_size
bert-base-uncased,"[0.54, 0.52, 0.68, 0.7, 0.82, 0.82, 0.6, 0.74, 0.78, 0.72, 0.8, 0.81, 0.44, 0.78, 0.81]","[0.54, 0.56, 0.68, 0.71, 0.82, 0.82, 0.64, 0.75, 0.78, 0.73, 0.81, 0.81, 0.54, 0.79, 0.81]","[0.54, 0.56, 0.68, 0.71, 0.82, 0.82, 0.64, 0.75, 0.78, 0.73, 0.81, 0.81, 0.54, 0.79, 0.81]",649.36,1800,10,2e-05,3,109482240,417.65
distilbert-base-uncased,"[0.48, 0.81, 0.82, 0.67, 0.81, 0.83, 0.66, 0.72, 0.77, 0.62, 0.72, 0.75, 0.57, 0.74, 0.76]","[0.56, 0.81, 0.82, 0.68, 0.81, 0.83, 0.66, 0.72, 0.77, 0.65, 0.72, 0.75, 0.61, 0.74, 0.76]","[0.56, 0.81, 0.82, 0.68, 0.81, 0.83, 0.66, 0.72, 0.77, 0.65, 0.72, 0.75, 0.61, 0.74, 0.76]",362.37,1800,10,2e-05,3,66362880,253.16
bert-base-multilingual-uncased,"[0.9, 0.89, 0.9, 0.88, 0.9, 0.92, 0.79, 0.89, 0.89, 0.73, 0.89, 0.9, 0.85, 0.87, 0.89]","[0.9, 0.89, 0.9, 0.88, 0.9, 0.92, 0.79, 0.89, 0.89, 0.75, 0.89, 0.9, 0.86, 0.87, 0.89]","[0.9, 0.89, 0.9, 0.88, 0.9, 0.92, 0.79, 0.89, 0.89, 0.75, 0.89, 0.9, 0.86, 0.87, 0.89]",671.38,1800,10,2e-05,3,167356416,638.42
camembert-base,"[0.93, 0.94, 0.96, 0.93, 0.94, 0.94, 0.94, 0.94, 0.94, 0.93, 0.94, 0.94, 0.93, 0.94, 0.94]","[0.93, 0.94, 0.96, 0.93, 0.94, 0.94, 0.94, 0.94, 0.94, 0.93, 0.94, 0.94, 0.93, 0.94, 0.94]","[0.93, 0.94, 0.96, 0.93, 0.94, 0.94, 0.94, 0.94, 0.94, 0.93, 0.94, 0.94, 0.93, 0.94, 0.94]",644.80,1800,10,2e-05,3,110621952,422.00
camembert/camembert-large,"[0.96, 0.96, 0.96, 0.96, 0.95, 0.97, 0.95, 0.95, 0.95, 0.96, 0.96, 0.96, 0.96, 0.96, 0.95]","[0.96, 0.96, 0.96, 0.96, 0.95, 0.97, 0.95, 0.95, 0.95, 0.96, 0.96, 0.96, 0.96, 0.96, 0.95]","[0.96, 0.96, 0.96, 0.96, 0.95, 0.97, 0.95, 0.95, 0.95, 0.96, 0.96, 0.96, 0.96, 0.96, 0.95]",1902.87,1800,10,2e-05,3,336661504,1284.27
camembert/camembert-base-ccnet,"[0.94, 0.95, 0.96, 0.93, 0.93, 0.94, 0.93, 0.94, 0.95, 0.95, 0.95, 0.95, 0.93, 0.95, 0.94]","[0.94, 0.95, 0.96, 0.93, 0.93, 0.94, 0.93, 0.94, 0.95, 0.95, 0.95, 0.95, 0.93, 0.95, 0.94]","[0.94, 0.95, 0.96, 0.93, 0.93, 0.94, 0.93, 0.94, 0.95, 0.95, 0.95, 0.95, 0.93, 0.95, 0.94]",643.67,1800,10,2e-05,3,110621952,422.00
camembert/camembert-base-ccnet-4gb,"[0.93, 0.94, 0.94, 0.92, 0.93, 0.94, 0.94, 0.93, 0.95, 0.93, 0.94, 0.95, 0.93, 0.94, 0.94]","[0.93, 0.94, 0.94, 0.93, 0.93, 0.94, 0.94, 0.93, 0.95, 0.93, 0.94, 0.95, 0.93, 0.94, 0.94]","[0.93, 0.94, 0.94, 0.93, 0.93, 0.94, 0.94, 0.93, 0.95, 0.93, 0.94, 0.95, 0.93, 0.94, 0.94]",645.11,1800,10,2e-05,3,110621952,422.00
camembert/camembert-base-oscar-4gb,"[0.93, 0.95, 0.95, 0.94, 0.94, 0.94, 0.95, 0.94, 0.95, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94]","[0.93, 0.95, 0.95, 0.94, 0.94, 0.94, 0.95, 0.94, 0.95, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94]","[0.93, 0.95, 0.95, 0.94, 0.94, 0.94, 0.95, 0.94, 0.95, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94]",643.95,1800,10,2e-05,3,110621952,422.00
camembert/camembert-base-wikipedia-4gb,"[0.88, 0.89, 0.9, 0.86, 0.88, 0.9, 0.85, 0.87, 0.88, 0.87, 0.9, 0.91, 0.84, 0.85, 0.85]","[0.88, 0.89, 0.9, 0.86, 0.88, 0.9, 0.85, 0.87, 0.88, 0.87, 0.9, 0.91, 0.84, 0.85, 0.85]","[0.88, 0.89, 0.9, 0.86, 0.88, 0.9, 0.85, 0.87, 0.88, 0.87, 0.9, 0.91, 0.84, 0.85, 0.85]",644.20,1800,10,2e-05,3,110621952,422.00
flaubert/flaubert_small_cased,"[0.67, 0.74, 0.77, 0.68, 0.76, 0.78, 0.6, 0.64, 0.71, 0.64, 0.71, 0.73, 0.66, 0.74, 0.77]","[0.67, 0.74, 0.78, 0.68, 0.76, 0.78, 0.63, 0.65, 0.71, 0.64, 0.71, 0.74, 0.67, 0.74, 0.77]","[0.67, 0.74, 0.78, 0.68, 0.76, 0.78, 0.63, 0.65, 0.71, 0.64, 0.71, 0.74, 0.67, 0.74, 0.77]",222.40,1800,10,2e-05,3,54366720,207.40
flaubert/flaubert_base_uncased,"[0.88, 0.94, 0.94, 0.86, 0.94, 0.92, 0.87, 0.92, 0.92, 0.37, 0.29, 0.29, 0.66, 0.92, 0.93]","[0.88, 0.94, 0.94, 0.86, 0.94, 0.92, 0.87, 0.92, 0.92, 0.54, 0.46, 0.46, 0.66, 0.93, 0.93]","[0.88, 0.94, 0.94, 0.86, 0.94, 0.92, 0.87, 0.92, 0.92, 0.54, 0.46, 0.46, 0.66, 0.93, 0.93]",676.83,1800,10,2e-05,3,137321472,523.84
flaubert/flaubert_base_cased,"[0.92, 0.93, 0.94, 0.83, 0.93, 0.93, 0.84, 0.93, 0.93, 0.92, 0.94, 0.95, 0.9, 0.92, 0.92]","[0.92, 0.93, 0.94, 0.84, 0.93, 0.93, 0.84, 0.93, 0.93, 0.92, 0.94, 0.95, 0.9, 0.92, 0.93]","[0.92, 0.93, 0.94, 0.84, 0.93, 0.93, 0.84, 0.93, 0.93, 0.92, 0.94, 0.95, 0.9, 0.92, 0.93]",676.90,1800,10,2e-05,3,138233088,527.32
flaubert/flaubert_large_cased,"[0.41, 0.92, 0.94, 0.85, 0.92, 0.94, 0.82, 0.92, 0.93, 0.89, 0.91, 0.94, 0.67, 0.89, 0.92]","[0.5, 0.92, 0.94, 0.85, 0.92, 0.94, 0.82, 0.92, 0.93, 0.89, 0.91, 0.94, 0.67, 0.89, 0.92]","[0.5, 0.92, 0.94, 0.85, 0.92, 0.94, 0.82, 0.92, 0.93, 0.89, 0.91, 0.94, 0.67, 0.89, 0.92]",1605.96,1800,10,2e-05,3,373214208,1423.70
